21:03:20 INFO  : Registering command handlers for SDK TCF services
21:03:21 INFO  : Launching XSCT server: xsct.bat -interactive C:\Users\matta\Vivado_projects\video_sampler\video_sampler.sdk\temp_xsdb_launch_script.tcl
21:03:25 INFO  : XSCT server has started successfully.
21:03:28 INFO  : Successfully done setting XSCT server connection channel  
21:03:28 INFO  : Processing command line option -hwspec C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete.hdf.
21:03:28 INFO  : Successfully done setting SDK workspace  
21:08:06 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:08:07 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:08:08 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:21:19 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:21:19 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:21:20 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:34:44 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:34:45 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:34:46 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:40:07 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:40:07 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:40:08 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:43:38 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:43:38 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:43:39 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:45:11 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:45:11 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:45:12 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:46:41 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:46:41 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:46:42 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:48:00 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:48:00 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:48:01 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:49:20 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:49:20 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
21:49:21 INFO  : FPGA configured successfully with bitstream "C:/Users/matta/Vivado_projects/video_sampler/video_sampler.sdk/mcs_top_complete_hw_platform_0/download.bit"
21:52:17 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:52:17 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4DDR 210292A8AEA2A" && level==0} -index 0' command is executed.
